recording;score
Itgo4T2_20220204_041000.wav;0.29595358
Itgo4T2_20220204_043000.wav;0.386444524
Itgo4T2_20220204_042000.wav;0.45269925
Itgo4T2_20220204_183000.wav;0.422927776
Itgo4T2_20220204_201000.wav;0.202090404
Itgo4T2_20220204_203000.wav;0.275619659
Itgo4T2_20220204_204000.wav;0.30851897
Itgo4T2_20220204_231000.wav;0.205924783
Itgo4T2_20220204_182000.wav;0.249084074
Itgo4T2_20220204_232000.wav;0.200619395
Itgo4T2_20220204_230000.wav;0.502895288
Itgo4T2_20220204_215000.wav;0.216002974
Itgo4T2_20220205_031000.wav;0.219996124
Itgo4T2_20220205_032000.wav;0.257640073
Itgo4T2_20220205_045000.wav;0.238662402
Itgo4T2_20220205_190000.wav;0.207470358
Itgo4T2_20220204_030000.wav;0.201960101
Itgo4T2_20220205_212000.wav;0.219513587
Itgo4T2_20220205_211000.wav;0.247459
Itgo4T2_20220205_180000.wav;0.216651669
Itgo4T2_20220205_181000.wav;0.259021346
Itgo4T2_20220205_000000.wav;0.201186899
Itgo4T2_20220205_204000.wav;0.269457031
Itgo4T2_20220205_185000.wav;0.202644811
Itgo4T2_20220206_054000.wav;0.201797919
Itgo4T2_20220206_050000.wav;0.201552056
Itgo4T2_20220206_191000.wav;0.218159815
Itgo4T2_20220206_185000.wav;0.206641219
Itgo4T2_20220206_190000.wav;0.304548689
Itgo4T2_20220206_192000.wav;0.435165472
Itgo4T2_20220206_202000.wav;0.208429053
Itgo4T2_20220206_200000.wav;0.351661374
Itgo4T2_20220206_222000.wav;0.300829176
Itgo4T2_20220206_210000.wav;0.242859186
Itgo4T2_20220206_212000.wav;0.204211657
Itgo4T2_20220206_234000.wav;0.299296307
Itgo4T2_20220207_055000.wav;0.281207904
Itgo4T2_20220207_004000.wav;0.285133245
Itgo4T2_20220208_184000.wav;0.353544377
Itgo4T2_20220208_182000.wav;0.292238447
Itgo4T2_20220208_190000.wav;0.27490604
Itgo4T2_20220208_210000.wav;0.206401569
Itgo4T2_20220208_203000.wav;0.227680484
Itgo4T2_20220208_192000.wav;0.219613808
Itgo4T2_20220208_193000.wav;0.232705393
