recording;score
Itgo4T2_20220205_191000.wav;0.230551849
Itgo4T2_20220206_004000.wav;0.230561189
Itgo4T2_20220205_201000.wav;0.230571723
Itgo4T2_20220131_031000.wav;0.230586201
Itgo4T2_20220208_053000.wav;0.230590467
Itgo4T2_20220206_232000.wav;0.230602901
Itgo4T2_20220206_045000.wav;0.230637194
Itgo4T2_20220208_014000.wav;0.230644219
Itgo4T2_20220203_054000.wav;0.230648471
Itgo4T2_20220209_033000.wav;0.23067998
Itgo4T2_20220131_182000.wav;0.230680399
Itgo4T2_20220208_032000.wav;0.230680814
Itgo4T2_20220131_193000.wav;0.230687977
Itgo4T2_20220201_185000.wav;0.230708693
Itgo4T2_20220203_191000.wav;0.230720399
Itgo4T2_20220206_230000.wav;0.230731219
Itgo4T2_20220203_195000.wav;0.230732074
Itgo4T2_20220208_184000.wav;0.230753701
Itgo4T2_20220206_194000.wav;0.230761073
Itgo4T2_20220203_024000.wav;0.230804419
Itgo4T2_20220202_021000.wav;0.230815743
Itgo4T2_20220204_051000.wav;0.230835835
Itgo4T2_20220208_194000.wav;0.230838582
Itgo4T2_20220205_230000.wav;0.230841791
Itgo4T2_20220131_230000.wav;0.230857179
Itgo4T2_20220201_010000.wav;0.230867806
Itgo4T2_20220205_041000.wav;0.230868372
Itgo4T2_20220205_231000.wav;0.230868513
Itgo4T2_20220201_182000.wav;0.230879347
Itgo4T2_20220202_221000.wav;0.230882018
Itgo4T2_20220204_001000.wav;0.230882449
Itgo4T2_20220206_205000.wav;0.2308873
Itgo4T2_20220206_002000.wav;0.230889679
Itgo4T2_20220131_052000.wav;0.23089135
Itgo4T2_20220204_045000.wav;0.230897865
Itgo4T2_20220204_054000.wav;0.230904494
Itgo4T2_20220131_033000.wav;0.230945041
Itgo4T2_20220204_224000.wav;0.230967434
Itgo4T2_20220208_044000.wav;0.230970385
Itgo4T2_20220206_005000.wav;0.231008384
Itgo4T2_20220131_001000.wav;0.231012028
Itgo4T2_20220207_035000.wav;0.23101252
Itgo4T2_20220201_225000.wav;0.231019234
Itgo4T2_20220203_023000.wav;0.231021609
Itgo4T2_20220202_202000.wav;0.231026451
Itgo4T2_20220131_180000.wav;0.231045527
Itgo4T2_20220205_193000.wav;0.231047949
Itgo4T2_20220201_041000.wav;0.231061125
Itgo4T2_20220209_013000.wav;0.231066264
Itgo4T2_20220205_044000.wav;0.23109647
Itgo4T2_20220201_050000.wav;0.231100513
Itgo4T2_20220202_185000.wav;0.23110524
Itgo4T2_20220131_185000.wav;0.231106206
Itgo4T2_20220207_023000.wav;0.231122406
Itgo4T2_20220204_182000.wav;0.231124943
Itgo4T2_20220203_044000.wav;0.231125702
Itgo4T2_20220207_195000.wav;0.231129896
Itgo4T2_20220204_202000.wav;0.23113903
